snomedConcept,snomedDesConcept,snomedDesIdentifier,snomedIdentifier
Administrative procedure,Liaising with legal service (procedure),709764001,14734007
Administrative procedure,Liaising with nutritionist (procedure),709763007,14734007
Administrative procedure,Liaising with education service (procedure),709758008,14734007
Administrative procedure,Liaising with pharmacist (procedure),709757003,14734007
Administrative procedure,Liaising with pain management specialist (procedure),709756007,14734007
Administrative procedure,Liaising with physician (procedure),709755006,14734007
Administrative procedure,Liaising with religious service (procedure),709754005,14734007
Administrative procedure,Liaising with social worker (procedure),709753004,14734007
Administrative procedure,Enrollment in clinical trial (procedure),709491003,14734007
Administrative procedure,Notification of treatment plan (procedure),709138001,14734007
Administrative procedure,Admission to same day surgery center (procedure),709063003,14734007
Administrative procedure,Liaising with referral source (procedure),709010006,14734007
Administrative procedure,Discharge from virtual ward (procedure),708252004,14734007
Administrative procedure,Diabetes monitoring invitation by short message service text messaging (procedure),705072004,14734007
Administrative procedure,Invitation for diabetes screening (procedure),704408003,14734007
Administrative procedure,Request for postmortem examination (procedure),704199009,14734007
Administrative procedure,Offering of child and adolescent mental health service choice appointment (procedure),702778004,14734007
Administrative procedure,Informing patient of outcome of child and adolescent mental health service choice appointment (procedure),700502006,14734007
Administrative procedure,Routine enquiry about domestic abuse (procedure),700410005,14734007
Administrative procedure,Discharge from community care service (procedure),700194007,14734007
Administrative procedure,Emergency hospital admission for ischemic heart disease (procedure),699245006,14734007
Administrative procedure,Admission to substance misuse detoxification center (procedure),699124006,14734007
Administrative procedure,Vascular surgery emergency hospital admission (procedure),699122005,14734007
Administrative procedure,Patient transfer to neonatal unit (procedure),698512003,14734007
Administrative procedure,Notification of miscarriage (procedure),450810001,14734007
Administrative procedure,Issuing of certificate of incapacity (procedure),450771002,14734007
Administrative procedure,Issuing of certificate of fitness (procedure),450770001,14734007
Administrative procedure,Registration of visual impairment (procedure),450575009,14734007
Administrative procedure,Transfer to stepdown unit (procedure),449214001,14734007
Administrative procedure,Request for language interpreter service (procedure),445075008,14734007
Administrative procedure,Discharge by podiatric surgeon (procedure),443588004,14734007
Administrative procedure,Storage of amputated body part (procedure),441220003,14734007
Administrative procedure,Storage of graft tissue (procedure),441002003,14734007
Administrative procedure,Storage (procedure),440276004,14734007
Administrative procedure,Attach identification bracelet to subject (procedure),439473004,14734007
Administrative procedure,Discharge by mental health primary care worker (procedure),439141002,14734007
Administrative procedure,Collection of forensic data (procedure),432442004,14734007
Administrative procedure,Transfer of care to hospital (procedure),429202003,14734007
Administrative procedure,Transportation request (procedure),428632005,14734007
Administrative procedure,Liaising with police regarding subject (procedure),428453008,14734007
Administrative procedure,Notification of physician (procedure),428426009,14734007
Administrative procedure,Death verification (procedure),428413005,14734007
Administrative procedure,Liaising with police regarding subject's welfare (procedure),427835007,14734007
Administrative procedure,Admission from establishment (procedure),427675001,14734007
Administrative procedure,Preparation of discharge summary (procedure),427228005,14734007
Administrative procedure,Determination of acuity level (procedure),425705009,14734007
Administrative procedure,Provision of community outreach care (procedure),423899000,14734007
Administrative procedure,Determination of resuscitation status (procedure),423652009,14734007
Administrative procedure,Informing surgeon (procedure),423289001,14734007
Administrative procedure,Pre-procedure evaluation check (procedure),422759001,14734007
Administrative procedure,Shared electronic record administration (procedure),417753008,14734007
Administrative procedure,Epilepsy monitoring call (procedure),417568007,14734007
Administrative procedure,Confirming patient identity by wristband (procedure),417336003,14734007
Administrative procedure,Cancer monitoring verbal invitation (procedure),417084004,14734007
Administrative procedure,Mental health monitoring verbal invitation (procedure),416883000,14734007
Administrative procedure,Emergency hospital admission for heart failure (procedure),416683003,14734007
Administrative procedure,Procedure time out (procedure),416393001,14734007
Administrative procedure,Hypothyroidism monitoring verbal invite (procedure),416326003,14734007
Administrative procedure,Confirming patient identity by guardian interview (procedure),416287007,14734007
Administrative procedure,Confirming patient identity by direct questioning (procedure),416115001,14734007
Administrative procedure,Epilepsy monitoring verbal invite (procedure),416090009,14734007
Administrative procedure,Surgical time out (procedure),415682000,14734007
Administrative procedure,Raising awareness of risks (procedure),415233007,14734007
Administrative procedure,Obtaining consent (procedure),414925007,14734007
Administrative procedure,Mental health monitoring third letter (procedure),414671002,14734007
Administrative procedure,Mental health monitoring second letter (procedure),414670001,14734007
Administrative procedure,Mental health monitoring invitation (procedure),414669002,14734007
Administrative procedure,Mental health monitoring first letter (procedure),414668005,14734007
Administrative procedure,Left ventricular dysfunction monitoring third letter (procedure),414589008,14734007
Administrative procedure,Left ventricular dysfunction monitoring second letter (procedure),414588000,14734007
Administrative procedure,Left ventricular dysfunction monitoring invitation (procedure),414587005,14734007
Administrative procedure,Left ventricular dysfunction monitoring first letter (procedure),414586001,14734007
Administrative procedure,Hypothyroidism monitoring third letter (procedure),414442008,14734007
Administrative procedure,Hypothyroidism monitoring second letter (procedure),414441001,14734007
Administrative procedure,Hypothyroidism monitoring invitation (procedure),414440000,14734007
Administrative procedure,Hypothyroidism monitoring first letter (procedure),414439002,14734007
Administrative procedure,Cancer monitoring third letter (procedure),413741005,14734007
Administrative procedure,Cancer monitoring second letter (procedure),413740006,14734007
Administrative procedure,Cancer monitoring invitation (procedure),413739009,14734007
Administrative procedure,Cancer monitoring first letter (procedure),413738001,14734007
Administrative procedure,Learning disabilities health action plan reviewed (procedure),413163007,14734007
Administrative procedure,Risk management administration (procedure),413137002,14734007
Administrative procedure,Discharge from learning disability team (procedure),413128002,14734007
Administrative procedure,Changing delivery booking place (procedure),410541009,14734007
Administrative procedure,Delivery length of stay booking (procedure),410540005,14734007
Administrative procedure,Delivery place booking (procedure),410539008,14734007
Administrative procedure,Scheduling (procedure),410538000,14734007
Administrative procedure,Verification of surgical site and laterality (procedure),409056005,14734007
Administrative procedure,Child protection case conference (procedure),408770006,14734007
Administrative procedure,Emergency hospital admission for chronic obstructive pulmonary disease (procedure),408501008,14734007
Administrative procedure,Respiratory emergency hospital admission (procedure),408489005,14734007
Administrative procedure,Informing partner (procedure),407574002,14734007
Administrative procedure,Legal deposition (procedure),406167007,14734007
Administrative procedure,Legal testimony (procedure),406166003,14734007
Administrative procedure,Patient transfer to cardiac intensive care unit (procedure),406144005,14734007
Administrative procedure,Discharge to convalescence (procedure),405807003,14734007
Administrative procedure,Direct questioning (procedure),405672008,14734007
Administrative procedure,Unexpected hospital admission (procedure),405614004,14734007
Administrative procedure,General practitioner out of hours service administration (procedure),401165003,14734007
Administrative procedure,Multidisciplinary care conference for cancer care planning (procedure),399414003,14734007
Administrative procedure,Admission to high dependency unit (procedure),398162007,14734007
Administrative procedure,Patient transfer to postoperative anesthesia care unit (procedure),398068008,14734007
Administrative procedure,Unexpected admission to intensive care unit (procedure),397945004,14734007
Administrative procedure,Patient transfer to intensive care unit (procedure),397821002,14734007
Administrative procedure,Anesthesia practitioner identified (procedure),397794006,14734007
Administrative procedure,Unexpected admission to high dependency unit (procedure),397769005,14734007
Administrative procedure,Management of Patient Bill of Rights policy (procedure),396072003,14734007
Administrative procedure,Patient education regarding Patient Bill of Rights (procedure),396071005,14734007
Administrative procedure,Health administration (procedure),394867009,14734007
Administrative procedure,Test request (procedure),394838008,14734007
Administrative procedure,Mental health crisis resolution HRGs (procedure),391273003,14734007
Administrative procedure,Early intervention in psychosis HRGs (procedure),391269001,14734007
Administrative procedure,Perinatal mental health care healthcare resource groups (procedure),391266008,14734007
Administrative procedure,Mental health residential care healthcare resource groups (procedure),391265007,14734007
Administrative procedure,Care for mentally disordered offenders healthcare resource groups (procedure),391264006,14734007
Administrative procedure,Mental health caregivers' support healthcare resource groups (procedure),391263000,14734007
Administrative procedure,Mental health caregivers' respite healthcare resource groups (procedure),391262005,14734007
Administrative procedure,Mental health functional therapies - <1 contacts/month (procedure),391261003,14734007
Administrative procedure,Mental health functional therapies - 1-3 contacts/month (procedure),391260002,14734007
Administrative procedure,Mental health support no facilitation - <1 contact/month (procedure),391259007,14734007
Administrative procedure,Mental health support no facilitation - 1-3 contacts/month (procedure),391258004,14734007
Administrative procedure,Mental health functional therapies - 1-2 contacts/week (procedure),391257009,14734007
Administrative procedure,Mental health functional therapies - 3-5 contacts/wk (procedure),391256000,14734007
Administrative procedure,Mental health functional therapies - Daily intensive (procedure),391255001,14734007
Administrative procedure,Mental health functional therapies - Part day : day care (procedure),391254002,14734007
Administrative procedure,Mental health functional therapies - 24 hr not intensive (procedure),391253008,14734007
Administrative procedure,Mental health functional therapies - Full day : day care (procedure),391252003,14734007
Administrative procedure,Psychological therapies - <1 contact/month (procedure),391242002,14734007
Administrative procedure,Psychological therapies - 1-3 contacts/month (procedure),391239008,14734007
Administrative procedure,Psychological therapies - 1-2 contacts/week (procedure),391237005,14734007
Administrative procedure,Psychological therapies - 3-5 contacts/week (procedure),391233009,14734007
Administrative procedure,Psychological therapies - Daily intensive (procedure),391232004,14734007
Administrative procedure,Psychological therapies - Part day : day care (procedure),391229002,14734007
Administrative procedure,Psychological therapies - Full day : day care (procedure),391228005,14734007
Administrative procedure,Psychological therapies - 24 hour not intensive (procedure),391227000,14734007
Administrative procedure,Mental health support no facilitation - 1-2 contacts/week (procedure),391226009,14734007
Administrative procedure,Mental health support groups staff facilitated - <1 contact/month (procedure),391225008,14734007
Administrative procedure,Mental health support groups staff facilitated - 1-3 contacts/month (procedure),391224007,14734007
Administrative procedure,Mental health support groups staff facilitated - 1-2 contacts/week (procedure),391223001,14734007
Administrative procedure,Mental health addiction programs - <1 contact/month (procedure),391213005,14734007
Administrative procedure,Mental health addiction programs - 1-3 contacts/month (procedure),391212000,14734007
Administrative procedure,Mental health addiction programs - 1-2 contacts/week (procedure),391211007,14734007
Administrative procedure,Mental health addiction programs - 3-5 contacts/week (procedure),391210008,14734007
Administrative procedure,Mental health addiction programs - daily intensive (procedure),391209003,14734007
Administrative procedure,Mental health addiction programs - part day: day care (procedure),391208006,14734007
Administrative procedure,Mental health addiction programs - full day: day care (procedure),391207001,14734007
Administrative procedure,Mental health addiction programs - 24 hour intensive (procedure),391206005,14734007
Administrative procedure,Mental health addiction programs - 24 hour not intensive (procedure),391205009,14734007
Administrative procedure,Homeless mental health care - 3-5 contacts/week (procedure),391195008,14734007
Administrative procedure,Homeless mental health care - Daily intensive (procedure),391194007,14734007
Administrative procedure,Homeless mental health care - Part day : day care (procedure),391192006,14734007
Administrative procedure,Homeless mental health care - Full day : day care (procedure),391191004,14734007
Administrative procedure,Early intervention in psychosis - <1 contact/month (procedure),391190003,14734007
Administrative procedure,Early intervention in psychosis - 1-3 contacts/month (procedure),391189007,14734007
Administrative procedure,Early intervention in psychosis - 1-2 contacts/week (procedure),391188004,14734007
Administrative procedure,Early intervention in psychosis - 3-5 contacts/week (procedure),391187009,14734007
Administrative procedure,Early intervention in psychosis - Daily intensive (procedure),391186000,14734007
Administrative procedure,Early intervention in psychosis - Part day : day care (procedure),391185001,14734007
Administrative procedure,Early intervention in psychosis - 24 hour not intensive (procedure),391184002,14734007
Administrative procedure,Early intervention in psychosis - 24 hour intensive (procedure),391183008,14734007
Administrative procedure,General psychiatric care of older adults - <1 contact/month (regime/therapy),391172004,14734007
Administrative procedure,General psychiatric care of older adults - 1 to 3 contacts/month (regime/therapy),391171006,14734007
Administrative procedure,General psychiatric care of older adults - 1 to 2 contacts/week (regime/therapy),391170007,14734007
Administrative procedure,General psychiatric care of older adults - 3 to 5 contacts/week (regime/therapy),391153004,14734007
Administrative procedure,General psychiatric care of older adults - Daily intensive (regime/therapy),391152009,14734007
Administrative procedure,General psychiatric care of older adults - Part day : day care (regime/therapy),391151002,14734007
Administrative procedure,General psychiatric care of older adults - Full day : day care (regime/therapy),391150001,14734007
Administrative procedure,General psychiatric care of older adults - 24 hour not intensive (regime/therapy),391149001,14734007
Administrative procedure,General psychiatric care of older adults - 24 hour intensive (regime/therapy),391146008,14734007
Administrative procedure,Mental health crisis resolution - 24 hour intensive (procedure),391134009,14734007
Administrative procedure,Mental health crisis resolution - Full day (procedure),391133003,14734007
Administrative procedure,Mental health crisis resolution - Daily intensive (procedure),391056005,14734007
Administrative procedure,Mental health crisis resolution - Part day (procedure),391055009,14734007
Administrative procedure,Emergency mental health assessment - Daily intensive (procedure),391054008,14734007
Administrative procedure,Mental health crisis resolution - 24 hour not intensive (procedure),391049004,14734007
Administrative procedure,Crisis/short term interventions in mental health care - Daily intensive (procedure),391048007,14734007
Administrative procedure,Crisis/short term interventions in mental health care - Part day : day care (procedure),391047002,14734007
Administrative procedure,Crisis/short term interventions in mental health care - Full day : day care (procedure),391046006,14734007
Administrative procedure,Crisis/short term interventions in mental health care - 24 hr not intensive (procedure),391045005,14734007
Administrative procedure,Crisis/short term interventions in mental health care - 24 hour intensive (procedure),391044009,14734007
Administrative procedure,Planned mental health assessment - Part day : day care (procedure),391043003,14734007
Administrative procedure,Planned mental health assessment - Full day : day care (procedure),391042008,14734007
Administrative procedure,Planned mental health assessment - 24 hour not intensive (procedure),391041001,14734007
Administrative procedure,Emergency mental health assessment - Part day : day care (procedure),391038005,14734007
Administrative procedure,Emergency mental health assessment - 24 hour not intensive (procedure),391036009,14734007
Administrative procedure,Emergency mental health assessment - 24 hour intensive (procedure),391035008,14734007
Administrative procedure,Mental health healthcare resource groups (procedure),391029008,14734007
Administrative procedure,Mental health support - no facilitation (procedure),390832000,14734007
Administrative procedure,Mental health support groups - staff facilitated (procedure),390824008,14734007
Administrative procedure,Mental health functional therapies (procedure),390823002,14734007
Administrative procedure,Psychological therapies (procedure),390822007,14734007
Administrative procedure,Mental health addiction programs (procedure),390821000,14734007
Administrative procedure,General psychiatric care of adults of working age (procedure),390816003,14734007
Administrative procedure,Early intervention in psychosis (procedure),390815004,14734007
Administrative procedure,Assertive outreach in mental health care (procedure),390813006,14734007
Administrative procedure,Secure and high-dependency mental health care (procedure),390812001,14734007
Administrative procedure,Crisis/short term interventions in mental health care (procedure),390811008,14734007
Administrative procedure,Planned mental health assessment (procedure),390810009,14734007
Administrative procedure,Emergency mental health assessment (procedure),390809004,14734007
Administrative procedure,Midwife unit delivery booking (procedure),390782000,14734007
Administrative procedure,Team conference (procedure),389064003,14734007
Administrative procedure,Supply management (procedure),386452003,14734007
Administrative procedure,Shift report (procedure),386431006,14734007
Administrative procedure,Research data collection (procedure),386409003,14734007
Administrative procedure,Quality monitoring (procedure),386404008,14734007
Administrative procedure,Organ procurement facilitation (procedure),386379000,14734007
Administrative procedure,Order transcription (procedure),386378008,14734007
Administrative procedure,Insurance authorization (procedure),386336002,14734007
Administrative procedure,Incident reporting (procedure),386332000,14734007
Administrative procedure,Health policy monitoring (procedure),386318002,14734007
Administrative procedure,Healthcare information exchange (procedure),386317007,14734007
Administrative procedure,Fiscal resource management (procedure),386309004,14734007
Administrative procedure,Financial resource assistance (regime/therapy),386306006,14734007
Administrative procedure,Emergency cart checking (procedure),386282007,14734007
Administrative procedure,Cost containment (procedure),386250009,14734007
Administrative procedure,Controlled substance checking (procedure),386249009,14734007
Administrative procedure,Physician status report (procedure),385779005,14734007
Administrative procedure,Nursing status report (procedure),385778002,14734007
Administrative procedure,Informing nurse (procedure),385775004,14734007
Administrative procedure,Transportation procedure (procedure),384762007,14734007
Administrative procedure,Multidisciplinary care conference (procedure),384682003,14734007
Administrative procedure,Maintaining confidentiality of patient information (procedure),372920002,14734007
Administrative procedure,Verification of operative procedure (procedure),372053005,14734007
Administrative procedure,Confirming patient identity prior to procedure (procedure),372040007,14734007
Administrative procedure,Patient identification (procedure),372039005,14734007
Administrative procedure,Verification of consent for planned procedure (procedure),370861006,14734007
Administrative procedure,Limiting access to confidential patient information (procedure),370856009,14734007
Administrative procedure,"Securing patient's records, belongings, and valuables (procedure)",370855008,14734007
Administrative procedure,Recording of devices implanted during operative procedure (procedure),370852006,14734007
Administrative procedure,Provides status reports to family/support person (procedure),370849003,14734007
Administrative procedure,Confirming patient identity before operative/invasive procedure (procedure),370786008,14734007
Administrative procedure,Disability administrative procedure (procedure),363087005,14734007
Administrative procedure,Death notification (procedure),363049002,14734007
Administrative procedure,Application for funding (procedure),362987001,14734007
Administrative procedure,Cardiology emergency hospital admission (procedure),313385005,14734007
Administrative procedure,Admission for social reasons (procedure),313331005,14734007
Administrative procedure,Informing next of kin of prognosis (procedure),313010003,14734007
Administrative procedure,Informing next of kin of diagnosis (procedure),313009008,14734007
Administrative procedure,Informing relative of prognosis (procedure),313008000,14734007
Administrative procedure,Informing relative of diagnosis (procedure),313007005,14734007
Administrative procedure,Patient review of medical records (procedure),312854002,14734007
Administrative procedure,Medical records review (procedure),312853008,14734007
Administrative procedure,Notification of birth (procedure),312486000,14734007
Administrative procedure,Placement for residential accommodation (procedure),312074008,14734007
Administrative procedure,Placement for disabled college (procedure),312073002,14734007
Administrative procedure,Placement for rehabilitation (procedure),312053007,14734007
Administrative procedure,Placement procedure (procedure),312052002,14734007
Administrative procedure,Liaising with agency (procedure),312050005,14734007
Administrative procedure,Family case conference (procedure),312048002,14734007
Administrative procedure,Application for social services funding (procedure),312040009,14734007
Administrative procedure,Application for charitable grant (procedure),312037009,14734007
Administrative procedure,Information gathering (procedure),311791003,14734007
Administrative procedure,Team meeting (procedure),311459003,14734007
Administrative procedure,Informing patient of prognosis (procedure),310868002,14734007
Administrative procedure,Informing patient of diagnosis (procedure),310867007,14734007
Administrative procedure,Informing patient (procedure),310866003,14734007
Administrative procedure,Admission by medical oncologist (procedure),310518002,14734007
Administrative procedure,Discharge by medical oncologist (procedure),310513006,14734007
Administrative procedure,Well man monitoring invitation (procedure),310433008,14734007
Administrative procedure,Well woman monitoring invitation (procedure),310432003,14734007
Administrative procedure,Well adult monitoring invitation (procedure),310431005,14734007
Administrative procedure,Stress monitoring invitation (procedure),310430006,14734007
Administrative procedure,Smoking monitoring invitation (procedure),310429001,14734007
Administrative procedure,Obesity monitoring invitation (procedure),310428009,14734007
Administrative procedure,Hypertension monitoring invitation (procedure),310427004,14734007
Administrative procedure,Hormone replacement monitoring invitation (procedure),310426008,14734007
Administrative procedure,Diabetes monitoring invitation (procedure),310425007,14734007
Administrative procedure,New patient screening invitation (procedure),310424006,14734007
Administrative procedure,Prevention/screening invitation (procedure),310422005,14734007
Administrative procedure,Blindness certification (procedure),310418000,14734007
Administrative procedure,Certification procedure (procedure),310417005,14734007
Administrative procedure,Administrative checking procedure (procedure),310411006,14734007
Administrative procedure,Deregistration procedure (procedure),310410007,14734007
Administrative procedure,Non-urgent cardiological admission (procedure),310361003,14734007
Administrative procedure,Delayed discharge - social services (procedure),309568009,14734007
Administrative procedure,Death certification (procedure),308646001,14734007
Administrative procedure,Payment for service procedure (procedure),308590000,14734007
Administrative procedure,Report procedure (procedure),308561006,14734007
Administrative procedure,Meetings and conferences (procedure),308557000,14734007
Administrative procedure,Request procedure (procedure),308539001,14734007
Administrative procedure,Monitoring call (procedure),308536008,14734007
Administrative procedure,Screening call (procedure),308535007,14734007
Administrative procedure,Hormone replacement monitoring call (procedure),308533000,14734007
Administrative procedure,New patient screening call (procedure),308531003,14734007
Administrative procedure,Clinic D monitoring call (procedure),308528004,14734007
Administrative procedure,Clinic C monitoring call (procedure),308526000,14734007
Administrative procedure,Clinic B monitoring call (procedure),308524002,14734007
Administrative procedure,Clinic A monitoring call (procedure),308521005,14734007
Administrative procedure,Clinic monitoring call (procedure),308520006,14734007
Administrative procedure,Well man monitoring call (procedure),308517003,14734007
Administrative procedure,Well adult monitoring call (procedure),308516007,14734007
Administrative procedure,Well woman monitoring call (procedure),308514005,14734007
Administrative procedure,Smoking monitoring call (procedure),308511002,14734007
Administrative procedure,Stress monitoring call (procedure),308509006,14734007
Administrative procedure,Geriatric monitoring call (procedure),308507008,14734007
Administrative procedure,Diabetes monitoring call (procedure),308505000,14734007
Administrative procedure,Obesity monitoring call (procedure),308504001,14734007
Administrative procedure,Hypertension monitoring call (procedure),308503007,14734007
Administrative procedure,Asthma monitoring call (procedure),308500005,14734007
Administrative procedure,Breast screening recall (procedure),308487008,14734007
Administrative procedure,Breast screening call (procedure),308486004,14734007
Administrative procedure,Adult immunization call (procedure),308434008,14734007
Administrative procedure,Immunization call (procedure),308433002,14734007
Administrative procedure,Immunization recall (procedure),308432007,14734007
Administrative procedure,Adult immunization recall (procedure),308431000,14734007
Administrative procedure,Chronic disease recall (procedure),308430004,14734007
Administrative procedure,Hypertension screening call (procedure),308428001,14734007
Administrative procedure,Hypertension screening recall (procedure),308427006,14734007
Administrative procedure,Adult health screening recall (procedure),308425003,14734007
Administrative procedure,Adult health screening call (procedure),308424004,14734007
Administrative procedure,Oral contraceptive check call (procedure),308423005,14734007
Administrative procedure,Diaphragm check call (procedure),308421007,14734007
Administrative procedure,Contraceptive intrauterine device check call (procedure),308420008,14734007
Administrative procedure,Contraception call (procedure),308419002,14734007
Administrative procedure,Cervical smear recall (procedure),308417000,14734007
Administrative procedure,Cervical smear call (procedure),308416009,14734007
Administrative procedure,Rubella titer call (procedure),308414007,14734007
Administrative procedure,Rubella immunization call (procedure),308413001,14734007
Administrative procedure,Rubella screening call (procedure),308412006,14734007
Administrative procedure,Child immunization recall (procedure),308411004,14734007
Administrative procedure,Child immunization call (procedure),308410003,14734007
Administrative procedure,Child development recall (procedure),308405002,14734007
Administrative procedure,Child development check call (procedure),308401006,14734007
Administrative procedure,Patient recall procedure (procedure),308400007,14734007
Administrative procedure,Patient call procedure (procedure),308397003,14734007
Administrative procedure,Research administrative procedure (procedure),308364004,14734007
Administrative procedure,Transfer of care (procedure),308292007,14734007
Administrative procedure,Administrative transfer procedure (procedure),308291000,14734007
Administrative procedure,Discharge from hospital (procedure),308283009,14734007
Administrative procedure,Admission to diabetic department (procedure),308253000,14734007
Administrative procedure,Admission to radiotherapy department (procedure),308252005,14734007
Administrative procedure,Admission to clinical oncology department (procedure),308251003,14734007
Administrative procedure,Discharge from rehabilitation service (procedure),308018004,14734007
Administrative procedure,Application procedure (administrative) (procedure),307948001,14734007
Administrative procedure,Death administrative procedure (procedure),307928008,14734007
Administrative procedure,Discharge by person (procedure),307838002,14734007
Administrative procedure,Registration procedure (procedure),307782001,14734007
Administrative procedure,Mail administration procedure (procedure),307780009,14734007
Administrative procedure,At risk registration (procedure),307776004,14734007
Administrative procedure,Discharge from community rehabilitation service (procedure),307383009,14734007
Administrative procedure,Discharge from head injury rehabilitation service (procedure),307382004,14734007
Administrative procedure,Admission by clinical hematologist (procedure),307064007,14734007
Administrative procedure,Admission to hand surgery department (procedure),306967009,14734007
Administrative procedure,Discharge from music therapy service (procedure),306864003,14734007
Administrative procedure,Discharge from drama therapy service (procedure),306863009,14734007
Administrative procedure,Discharge from dance therapy service (procedure),306862004,14734007
Administrative procedure,Discharge by audiological physician (procedure),306858005,14734007
Administrative procedure,Discharge from young disabled service (procedure),306809006,14734007
Administrative procedure,Discharge from stroke service (procedure),306808003,14734007
Administrative procedure,Admission to young disabled unit (procedure),306804001,14734007
Administrative procedure,Admission to stroke unit (procedure),306803007,14734007
Administrative procedure,Discharge by general dental surgeon (procedure),306733005,14734007
Administrative procedure,Admission to general dental surgery department (procedure),306732000,14734007
Administrative procedure,Admission by general dental surgeon (procedure),306731007,14734007
Administrative procedure,Case closure by social worker (procedure),306729003,14734007
Administrative procedure,Discharge to day ward (procedure),306707002,14734007
Administrative procedure,Discharge to ward (procedure),306706006,14734007
Administrative procedure,Discharge to police custody (procedure),306705005,14734007
Administrative procedure,Discharge to tertiary referral hospital (procedure),306703003,14734007
Administrative procedure,Discharge to community hospital (procedure),306701001,14734007
Administrative procedure,Discharge to long stay hospital (procedure),306700000,14734007
Administrative procedure,Discharge to hospital (procedure),306699001,14734007
Administrative procedure,Discharge to warden controlled accommodation (procedure),306698009,14734007
Administrative procedure,Discharge to sheltered housing (procedure),306697004,14734007
Administrative procedure,Discharge to part III accommodation (procedure),306696008,14734007
Administrative procedure,Discharge to private nursing home (procedure),306695007,14734007
Administrative procedure,Discharge to nursing home (procedure),306694006,14734007
Administrative procedure,Discharge to part III residential home (procedure),306693000,14734007
Administrative procedure,Discharge to private residential home (procedure),306692005,14734007
Administrative procedure,Discharge to residential home (procedure),306691003,14734007
Administrative procedure,Discharge to relative's home (procedure),306690002,14734007
