snomedConcept,snomedIdentifier,descendantId,descendantConcept,propagation,coverage
Blindness AND/OR vision impairment level (disorder),105597003,95486002,Congenital blindness (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,83785004,Transient blindness (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,70449006,Amaurosis (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,68574006,Cortical blindness (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,65956007,Legal blindness (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,65194006,Night blindness (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,39139002,Central blindness (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,36994005,Transient visual loss (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,23653003,Traumatic blindness (disorder),25,25
Irritable bowel syndrome (disorder),10743008,440630006,Irritable bowel syndrome characterized by constipation (disorder),5,5
Irritable bowel syndrome (disorder),10743008,440544005,Irritable bowel syndrome characterized by alternating bowel habit (disorder),5,5
Irritable bowel syndrome (disorder),10743008,235838003,Irritable bowel syndrome variant of childhood (disorder),5,5
Irritable bowel syndrome (disorder),10743008,197125005,Irritable bowel syndrome with diarrhea (disorder),5,5
Irritable bowel syndrome (disorder),10743008,10743008,Irritable bowel syndrome (disorder),5,5
Dialysis procedure (procedure),108241001,341939001,Extracorporeal hemofiltration (procedure),8,8
Dialysis procedure (procedure),108241001,265764009,Renal dialysis (procedure),8,8
Dialysis procedure (procedure),108241001,233595007,Intravenous gas exchange (procedure),8,8
Dialysis procedure (procedure),108241001,233592005,Plasma filtration (procedure),8,8
Dialysis procedure (procedure),108241001,233572003,Extracorporeal gas exchange (procedure),8,8
Dialysis procedure (procedure),108241001,182753006,Intestinal dialysis (procedure),8,8
Dialysis procedure (procedure),108241001,182749009,Extracorporeal blood irradiation (procedure),8,8
Dialysis procedure (procedure),108241001,108241001,Dialysis procedure (procedure),8,8
Kaposi's sarcoma (disorder),109385007,72891000119103,Kaposi sarcoma of viscus (disorder),13,13
Kaposi's sarcoma (disorder),109385007,703625002,Kaposi sarcoma not associated with acquired immunodeficiency syndrome (disorder),13,13
Kaposi's sarcoma (disorder),109385007,424779008,Primary Kaposi's sarcoma of oral cavity (disorder),13,13
Kaposi's sarcoma (disorder),109385007,420524008,Kaposi's sarcoma associated with acquired immunodeficiency syndrome (disorder),13,13
Kaposi's sarcoma (disorder),109385007,403979000,Kaposi's sarcoma - endemic (disorder),13,13
Kaposi's sarcoma (disorder),109385007,403978008,Kaposi's sarcoma - sporadic (disorder),13,13
Kaposi's sarcoma (disorder),109385007,255115008,Kaposi's sarcoma of cornea (disorder),13,13
Kaposi's sarcoma (disorder),109385007,255114007,Kaposi's sarcoma of conjunctiva (disorder),13,13
Kaposi's sarcoma (disorder),109385007,231835006,Kaposi's sarcoma of eyelid (disorder),13,13
Kaposi's sarcoma (disorder),109385007,188029000,Kaposi's sarcoma of soft tissue (disorder),13,13
Kaposi's sarcoma (disorder),109385007,109392002,Kaposi's sarcoma of multiple organs (disorder),13,13
Kaposi's sarcoma (disorder),109385007,109391009,Kaposi's sarcoma of lymph nodes (disorder),13,13
Kaposi's sarcoma (disorder),109385007,109385007,Kaposi's sarcoma (disorder),13,13
Multiple myeloma (disorder),109989006,739301006,Osteoporosis co-occurrent and due to multiple myeloma (disorder),10,10
Multiple myeloma (disorder),109989006,440422002,Asymptomatic multiple myeloma (disorder),10,10
Multiple myeloma (disorder),109989006,425657001,Osteosclerotic myeloma (disorder),10,10
Multiple myeloma (disorder),109989006,285422003,Immunoglobulin D myeloma (disorder),10,10
Multiple myeloma (disorder),109989006,285421005,Immunoglobulin G myeloma (disorder),10,10
Multiple myeloma (disorder),109989006,285420006,Immunoglobulin A myeloma (disorder),10,10
Multiple myeloma (disorder),109989006,277580004,Non-secretory myeloma (disorder),10,10
Multiple myeloma (disorder),109989006,277579002,Light chain myeloma (disorder),10,10
Multiple myeloma (disorder),109989006,109989006,Multiple myeloma (disorder),10,10
Multiple myeloma (disorder),109989006,94704006,Multiple myeloma in remission (disorder),10,10
Magnetic resonance imaging (procedure),113091000,840286006,Zero echo time imaging (procedure),35,35
Magnetic resonance imaging (procedure),113091000,772997003,Fast field-cycling magnetic resonance imaging (procedure),35,35
Magnetic resonance imaging (procedure),113091000,764577000,Magnetic resonance imaging of intestine (procedure),35,35
Magnetic resonance imaging (procedure),113091000,764575008,Magnetic resonance imaging for radiotherapy planning (procedure),35,35
Magnetic resonance imaging (procedure),113091000,716004000,Magnetic resonance elastography (procedure),35,35
Magnetic resonance imaging (procedure),113091000,702725003,Magnetic resonance imaging of head and neck (procedure),35,35
Magnetic resonance imaging (procedure),113091000,699581005,Post mortem magnetic resonance imaging (procedure),35,35
Magnetic resonance imaging (procedure),113091000,609224000,Magnetic resonance imaging of pathological specimen (procedure),35,35
Magnetic resonance imaging (procedure),113091000,451004008,Magnetic resonance imaging chemical shift imaging (procedure),35,35
Magnetic resonance imaging (procedure),113091000,450558003,Magnetic resonance imaging T2 mapping (procedure),35,35
Magnetic resonance imaging (procedure),113091000,448704000,Magnetic resonance imaging of esophagus (procedure),35,35
Magnetic resonance imaging (procedure),113091000,447239004,Magnetic resonance imaging of limb (procedure),35,35
Magnetic resonance imaging (procedure),113091000,446186001,Forensic magnetic resonance imaging (procedure),35,35
Magnetic resonance imaging (procedure),113091000,443078008,Magnetic resonance imaging of lumbosacral plexus (procedure),35,35
Magnetic resonance imaging (procedure),113091000,440408002,Diffusion weighted magnetic resonance imaging (procedure),35,35
Magnetic resonance imaging (procedure),113091000,439521002,Magnetization transfer imaging (procedure),35,35
Magnetic resonance imaging (procedure),113091000,433007004,Magnetic resonance imaging of penis (procedure),35,35
Magnetic resonance imaging (procedure),113091000,431407000,Magnetic resonance imaging of fetus (procedure),35,35
Magnetic resonance imaging (procedure),113091000,431249008,Magnetic resonance imaging of breast implant (procedure),35,35
Magnetic resonance imaging (procedure),113091000,426252008,Magnetic resonance imaging of whole body (procedure),35,35
Magnetic resonance imaging (procedure),113091000,419275004,Magnetic resonance imaging of urinary tract (procedure),35,35
Magnetic resonance imaging (procedure),113091000,418740008,Magnetic resonance imaging of lymphatic system (procedure),35,35
Magnetic resonance imaging (procedure),113091000,258177008,Magnetic resonance imaging guidance (procedure),35,35
Magnetic resonance imaging (procedure),113091000,241671007,Magnetic resonance spectroscopy (procedure),35,35
Magnetic resonance imaging (procedure),113091000,241663008,Magnetic resonance imaging of vessels (procedure),35,35
Magnetic resonance imaging (procedure),113091000,241645008,Magnetic resonance imaging of spine (procedure),35,35
Magnetic resonance imaging (procedure),113091000,241630001,Magnetic resonance imaging of scrotum (procedure),35,35
Magnetic resonance imaging (procedure),113091000,241621009,Magnetic resonance imaging of abdomen (procedure),35,35
Magnetic resonance imaging (procedure),113091000,113091000,Magnetic resonance imaging (procedure),35,35
Magnetic resonance imaging (procedure),113091000,90084008,Magnetic resonance imaging without contrast (procedure),35,35
Magnetic resonance imaging (procedure),113091000,67255001,Magnetic resonance imaging without intravenous contrast followed by contrast and more sections (procedure),35,35
Magnetic resonance imaging (procedure),113091000,58713006,Magnetic resonance imaging of musculoskeletal structures (procedure),35,35
Magnetic resonance imaging (procedure),113091000,51619007,Magnetic resonance imaging with contrast (procedure),35,35
Magnetic resonance imaging (procedure),113091000,6007000,Magnetic resonance imaging of chest (procedure),35,35
Magnetic resonance imaging (procedure),113091000,2690005,Magnetic resonance imaging of pelvis (procedure),35,35
Otosclerosis (disorder),11543004,1092011000119109,Otosclerosis of ossicle of right ear (disorder),8,8
Otosclerosis (disorder),11543004,1089401000119105,Otosclerosis of ossicle of left ear (disorder),8,8
Otosclerosis (disorder),11543004,91108004,Cochlear otosclerosis (disorder),8,8
Otosclerosis (disorder),11543004,62856000,Nonobliterative otosclerosis involving oval window (disorder),8,8
Otosclerosis (disorder),11543004,55664001,Obliterative otosclerosis involving oval window (disorder),8,8
Otosclerosis (disorder),11543004,23066002,Otosclerosis involving otic capsule (disorder),8,8
Otosclerosis (disorder),11543004,11543004,Otosclerosis (disorder),8,8
Otosclerosis (disorder),11543004,10566007,Otosclerosis involving round window (disorder),8,8
Gestational diabetes mellitus (disorder),11687002,10753491000119101,Gestational diabetes mellitus in childbirth (disorder),6,6
Gestational diabetes mellitus (disorder),11687002,40801000119106,Gestational diabetes mellitus complicating pregnancy (disorder),6,6
Gestational diabetes mellitus (disorder),11687002,40791000119105,Postpartum gestational diabetes mellitus (disorder),6,6
Gestational diabetes mellitus (disorder),11687002,75022004,"Gestational diabetes mellitus, class A>1< (disorder)",6,6
Gestational diabetes mellitus (disorder),11687002,46894009,"Gestational diabetes mellitus, class A>2< (disorder)",6,6
Gestational diabetes mellitus (disorder),11687002,11687002,Gestational diabetes mellitus (disorder),6,6
Hodgkin's disease (disorder),118599009,426071002,Hodgkin's disease in remission (disorder),11,11
Hodgkin's disease (disorder),118599009,402882001,Hodgkin's disease affecting skin (disorder),11,11
Hodgkin's disease (disorder),118599009,118599009,Hodgkin's disease (disorder),11,11
Hodgkin's disease (disorder),118599009,93528000,Hodgkin's disease of extranodal AND/OR solid organ site (disorder),11,11
Hodgkin's disease (disorder),118599009,93527005,Hodgkin's disease of spleen (disorder),11,11
Hodgkin's disease (disorder),118599009,93526001,Hodgkin's disease of lymph nodes of multiple sites (disorder),11,11
Hodgkin's disease (disorder),118599009,93525002,Hodgkin's disease of lymph nodes of inguinal region AND/OR lower limb (disorder),11,11
Hodgkin's disease (disorder),118599009,93524003,"Hodgkin's disease of lymph nodes of head, face AND/OR neck (disorder)",11,11
Hodgkin's disease (disorder),118599009,93523009,Hodgkin's disease of lymph nodes of axilla AND/OR upper limb (disorder),11,11
Hodgkin's disease (disorder),118599009,93522004,Hodgkin's disease of intrathoracic lymph nodes (disorder),11,11
Hodgkin's disease (disorder),118599009,93520007,Hodgkin's disease of intra-abdominal lymph nodes (disorder),11,11
Non-Hodgkin's lymphoma (disorder),118601006,352791000119108,Non-Hodgkin's lymphoma of lymph nodes of multiple sites (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,143291000119104,Non-Hodgkin lymphoma in remission (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,449318001,Non-Hodgkin's lymphoma of prostate (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,449292003,Non-Hodgkin's lymphoma of tonsil (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448774004,Non-Hodgkin's lymphoma of uterine cervix (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448738008,Non-Hodgkin's lymphoma of soft tissue (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448709005,Non-Hodgkin's lymphoma of stomach (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448387008,Non-Hodgkin's lymphoma of testis (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448386004,Non-Hodgkin's lymphoma of oral cavity (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448384001,Non-Hodgkin's lymphoma of nose (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448376000,Non-Hodgkin's lymphoma of ovary (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448372003,Non-Hodgkin's lymphoma of lung (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448371005,Non-Hodgkin's lymphoma of nasopharynx (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448354009,Non-Hodgkin's lymphoma of intestine (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448254007,Non-Hodgkin's lymphoma of central nervous system (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,448220006,Non-Hodgkin's lymphoma of bone (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,447989004,Non-Hodgkin's lymphoma of extranodal site (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,442537007,Non-Hodgkin lymphoma associated with Human immunodeficiency virus infection (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,371134001,"Malignant lymphoma, large cell, polymorphous, immunoblastic (disorder)",28,28
Non-Hodgkin's lymphoma (disorder),118601006,308121000,Follicular non-Hodgkin's lymphoma (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,303057009,"Malignant lymphoma, follicular center cell, non-cleaved (disorder)",28,28
Non-Hodgkin's lymphoma (disorder),118601006,303056000,"Malignant lymphoma, follicular center cell, cleaved (disorder)",28,28
Non-Hodgkin's lymphoma (disorder),118601006,303055001,"Malignant lymphoma, follicular center cell (disorder)",28,28
Non-Hodgkin's lymphoma (disorder),118601006,303017006,"Malignant lymphoma, convoluted cell type (disorder)",28,28
Non-Hodgkin's lymphoma (disorder),118601006,269476000,Nodular lymphoma (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,188487008,Lymphosarcoma and reticulosarcoma (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,118601006,Non-Hodgkin's lymphoma (disorder),28,28
Non-Hodgkin's lymphoma (disorder),118601006,109962001,Diffuse non-Hodgkin's lymphoma (disorder),28,28
Androgen resistance syndrome (disorder),12313004,368851000119102,Complete androgen insensitivity syndrome (disorder),7,7
Androgen resistance syndrome (disorder),12313004,122811000119101,Partial androgen insensitivity syndrome (disorder),7,7
Androgen resistance syndrome (disorder),12313004,237806007,Androgen receptor absent (disorder),7,7
Androgen resistance syndrome (disorder),12313004,236798003,Androgen resistance - infertile male (disorder),7,7
Androgen resistance syndrome (disorder),12313004,70140000,Receptor-positive androgen resistance syndrome (disorder),7,7
Androgen resistance syndrome (disorder),12313004,52832001,Testicular feminization (disorder),7,7
Androgen resistance syndrome (disorder),12313004,12313004,Androgen resistance syndrome (disorder),7,7
Spirometry (procedure),127783003,767906009,Post bronchodilator spirometry (procedure),6,6
Spirometry (procedure),127783003,314979004,Spirometry reversibility test (procedure),6,6
Spirometry (procedure),127783003,258058009,Open spirometry (procedure),6,6
Spirometry (procedure),127783003,171255006,Spirometry screening (procedure),6,6
Spirometry (procedure),127783003,127783003,Spirometry (procedure),6,6
Spirometry (procedure),127783003,33875008,Spirometry for bronchospasm with prolonged evaluation (procedure),6,6
Cellulitis (disorder),128045006,9701000119103,Cellulitis of vaginal cuff (disorder),18,18
Cellulitis (disorder),128045006,860816004,Cellulitis at injection site (disorder),18,18
Cellulitis (disorder),128045006,698567002,Recurrent cellulitis (disorder),18,18
Cellulitis (disorder),128045006,449710006,Cellulitis of lower limb (disorder),18,18
Cellulitis (disorder),128045006,449671007,Cellulitis of upper limb (disorder),18,18
Cellulitis (disorder),128045006,402929007,Bacterial cellulitis (disorder),18,18
Cellulitis (disorder),128045006,240780005,Mucormycotic gangrenous cellulitis (disorder),18,18
Cellulitis (disorder),128045006,239162003,Wound cellulitis (disorder),18,18
Cellulitis (disorder),128045006,200658003,Cellulitis and abscess of back (disorder),18,18
Cellulitis (disorder),128045006,128277003,Cellulitis of head (disorder),18,18
Cellulitis (disorder),128045006,128045006,Cellulitis (disorder),18,18
Cellulitis (disorder),128045006,123951002,Cellulitis of skin (disorder),18,18
Cellulitis (disorder),128045006,109362006,Cellulitis of parapharyngeal space (disorder),18,18
Cellulitis (disorder),128045006,46876003,Cellulitis of trunk (disorder),18,18
Cellulitis (disorder),128045006,38541002,Phlegmonous stomatitis AND cellulitis (disorder),18,18
Cellulitis (disorder),128045006,37223007,Cellulitis of neck (disorder),18,18
Cellulitis (disorder),128045006,23166004,Cellulitis of pharynx (disorder),18,18
Cellulitis (disorder),128045006,19240003,Cellulitis of digit (disorder),18,18
Abscess (disorder),128477000,12243431000119101,Abscess following procedure (disorder),42,42
Abscess (disorder),128477000,735425008,Abscess of digestive system (disorder),42,42
Abscess (disorder),128477000,723880004,Abscess of upper respiratory tract (disorder),42,42
Abscess (disorder),128477000,721807009,Abscess caused by Entamoeba histolytica (disorder),42,42
Abscess (disorder),128477000,720751000,Corticosteroid sensitive aseptic abscess syndrome (disorder),42,42
Abscess (disorder),128477000,461430004,Abscess of vascular cardiac conduit (disorder),42,42
Abscess (disorder),128477000,459157005,Abscess of cardiovascular heterograft (disorder),42,42
Abscess (disorder),128477000,459156001,Abscess of cardiovascular homograft (disorder),42,42
Abscess (disorder),128477000,432511006,Abscess of gastrostomy button site (disorder),42,42
Abscess (disorder),128477000,427917002,Multiple abscesses (disorder),42,42
Abscess (disorder),128477000,409778008,Bone abscess (disorder),42,42
Abscess (disorder),128477000,405549001,Abscess of connective tissue (disorder),42,42
Abscess (disorder),128477000,403129004,Filarial abscess (disorder),42,42
Abscess (disorder),128477000,312429005,Abscess of nervous system (disorder),42,42
Abscess (disorder),128477000,309083007,Abscess of back (disorder),42,42
Abscess (disorder),128477000,302940000,Abscess of tendon sheath (disorder),42,42
Abscess (disorder),128477000,240399004,Pasteurella abscess (disorder),42,42
Abscess (disorder),128477000,238383006,Stitch abscess (disorder),42,42
Abscess (disorder),128477000,236123006,Peristomal abscess (disorder),42,42
Abscess (disorder),128477000,235861001,Abscess gonococcal (disorder),42,42
Abscess (disorder),128477000,232212002,Abscess of external ear (disorder),42,42
Abscess (disorder),128477000,203019005,Muscle abscess (disorder),42,42
Abscess (disorder),128477000,200755008,Abscess of limb (disorder),42,42
Abscess (disorder),128477000,200751004,Abscess of face (disorder),42,42
Abscess (disorder),128477000,128477000,Abscess (disorder),42,42
Abscess (disorder),128477000,122862008,Abscess of bursa (disorder),42,42
Abscess (disorder),128477000,111184007,Abscess of temple region (disorder),42,42
Abscess (disorder),128477000,109791007,Abscess of palate (disorder),42,42
Abscess (disorder),128477000,109243005,Abscess of the infratemporal region (disorder),42,42
Abscess (disorder),128477000,95679004,Abscess of eye (disorder),42,42
Abscess (disorder),128477000,95382004,Injection site abscess (disorder),42,42
Abscess (disorder),128477000,84889008,Parapharyngeal abscess (disorder),42,42
Abscess (disorder),128477000,56937005,Abscess of trachea (disorder),42,42
Abscess (disorder),128477000,53502009,Abscess of chin (disorder),42,42
Abscess (disorder),128477000,49298003,Abscess of trunk (disorder),42,42
Abscess (disorder),128477000,44298000,Lymph node abscess (disorder),42,42
Abscess (disorder),128477000,39828002,Abscess of orbit (disorder),42,42
Abscess (disorder),128477000,31928004,Abscess of skin and/or subcutaneous tissue (disorder),42,42
Abscess (disorder),128477000,27614006,Intracranial abscess (disorder),42,42
Abscess (disorder),128477000,18099001,Retropharyngeal abscess (disorder),42,42
Abscess (disorder),128477000,7329003,"Abscess of head, except face (disorder)",42,42
Abscess (disorder),128477000,6284004,Abscess of neck (disorder),42,42
Medium-chain acyl-coenzyme A dehydrogenase deficiency (disorder),128596003,128596003,Medium-chain acyl-coenzyme A dehydrogenase deficiency (disorder),1,1
Endometriosis (disorder),129103003,724457006,Deep endometriosis (disorder),11,11
Endometriosis (disorder),129103003,397318008,Extraovarian endometriosis (disorder),11,11
Endometriosis (disorder),129103003,396223002,External endometriosis (disorder),11,11
Endometriosis (disorder),129103003,237117005,Endometriosis outside pelvis (disorder),11,11
Endometriosis (disorder),129103003,129103003,Endometriosis (disorder),11,11
Endometriosis (disorder),129103003,109861009,Endometriosis of the spermatic cord following estrogen therapy (disorder),11,11
Endometriosis (disorder),129103003,57493005,Endometriosis of vagina (disorder),11,11
Endometriosis (disorder),129103003,46073007,Deciduomatosis (disorder),11,11
Endometriosis (disorder),129103003,38780008,Endometriosis of vulva (disorder),11,11
Endometriosis (disorder),129103003,26681001,Endometriosis of pelvis (disorder),11,11
Endometriosis (disorder),129103003,5562006,Endometriosis of intestine (disorder),11,11
Ovarian hyperstimulation syndrome (disorder),129635004,129635004,Ovarian hyperstimulation syndrome (disorder),1,1
Postoperative care (regime/therapy),133899007,133899007,Postoperative care (regime/therapy),1,1
Burn care (regime/therapy),133901003,133901003,Burn care (regime/therapy),1,1
Ménière's disease (disorder),13445001,1091691000119101,Meniere's disease of right inner ear (disorder),8,8
Ménière's disease (disorder),13445001,1089081000119107,Meniere's disease of left inner ear (disorder),8,8
Ménière's disease (disorder),13445001,722949001,Familial Ménière disease (disorder),8,8
Ménière's disease (disorder),13445001,232283001,Vestibular Ménière syndrome (disorder),8,8
Ménière's disease (disorder),13445001,232282006,Cochlear Ménière syndrome (disorder),8,8
Ménière's disease (disorder),13445001,194351009,Inactive Ménière's disease (disorder),8,8
Ménière's disease (disorder),13445001,91011001,Active Ménière's disease (disorder),8,8
Ménière's disease (disorder),13445001,13445001,Ménière's disease (disorder),8,8
Alcohol abuse (disorder),15167005,284591009,Persistent alcohol abuse (disorder),3,3
Alcohol abuse (disorder),15167005,268645007,Nondependent alcohol abuse (disorder),3,3
Alcohol abuse (disorder),15167005,15167005,Alcohol abuse (disorder),3,3
Diabetes insipidus (disorder),15771004,68061000119109,Partial diabetes insipidus (disorder),9,9
Diabetes insipidus (disorder),15771004,239026002,Hypohidrosis-diabetes insipidus syndrome (disorder),9,9
Diabetes insipidus (disorder),15771004,111395007,Nephrogenic diabetes insipidus (disorder),9,9
Diabetes insipidus (disorder),15771004,82800008,Dipsogenic diabetes insipidus (disorder),9,9
Diabetes insipidus (disorder),15771004,77274005,Idiopathic diabetes insipidus (disorder),9,9
Diabetes insipidus (disorder),15771004,70694009,Diabetes mellitus AND insipidus with optic atrophy AND deafness (disorder),9,9
Diabetes insipidus (disorder),15771004,45369008,Neurohypophyseal diabetes insipidus (disorder),9,9
Diabetes insipidus (disorder),15771004,42021008,Familial diabetes insipidus (disorder),9,9
Diabetes insipidus (disorder),15771004,15771004,Diabetes insipidus (disorder),9,9
Dystonia (disorder),15802004,840501003,Dystonia caused by toxin (disorder),35,35
Dystonia (disorder),15802004,788908000,Dissociative neurological symptom disorder co-occurrent with dystonia (disorder),35,35
Dystonia (disorder),15802004,771223000,Infantile epileptic dyskinetic encephalopathy (disorder),35,35
Dystonia (disorder),15802004,770751003,"Severe motor and intellectual disabilities, sensorineural deafness, dystonia syndrome (disorder)",35,35
Dystonia (disorder),15802004,768553002,Hypermanganesemia with dystonia (disorder),35,35
Dystonia (disorder),15802004,763349002,Progressive myoclonic epilepsy with dystonia (disorder),35,35
Dystonia (disorder),15802004,763065008,Ataxia telangiectasia variant (disorder),35,35
Dystonia (disorder),15802004,724822003,Functional dystonia (disorder),35,35
Dystonia (disorder),15802004,722763000,Infantile dystonia parkinsonism (disorder),35,35
Dystonia (disorder),15802004,722435003,Dystonia 16 (disorder),35,35
Dystonia (disorder),15802004,720466001,Adult-onset dystonia parkinsonism (disorder),35,35
Dystonia (disorder),15802004,717942003,Brain dopamine-serotonin vesicular transport disease (disorder),35,35
Dystonia (disorder),15802004,717054001,Maternally inherited mitochondrial dystonia (disorder),35,35
Dystonia (disorder),15802004,702323008,Rapid onset dystonia parkinsonism (disorder),35,35
Dystonia (disorder),15802004,702315006,Dystonic cerebral palsy (disorder),35,35
Dystonia (disorder),15802004,698279003,X-linked dystonia parkinsonism (disorder),35,35
Dystonia (disorder),15802004,445006008,Focal dystonia (disorder),35,35
Dystonia (disorder),15802004,443352005,Dystonia of head (disorder),35,35
Dystonia (disorder),15802004,439732004,Myoclonic dystonia (disorder),35,35
Dystonia (disorder),15802004,431034009,Torsion dystonia (disorder),35,35
Dystonia (disorder),15802004,427945008,Segmental dystonia (disorder),35,35
Dystonia (disorder),15802004,427232004,Hemidystonia (disorder),35,35
Dystonia (disorder),15802004,425492002,Generalized dystonia (disorder),35,35
Dystonia (disorder),15802004,230500006,Sleep-related dystonia (disorder),35,35
Dystonia (disorder),15802004,230332007,Diurnal dystonia (disorder),35,35
Dystonia (disorder),15802004,230330004,Occupational dystonia (disorder),35,35
Dystonia (disorder),15802004,230329009,Posthemiplegic dystonia (disorder),35,35
Dystonia (disorder),15802004,230315008,Drug-induced dystonia (disorder),35,35
Dystonia (disorder),15802004,230310003,Paroxysmal dystonia (disorder),35,35
Dystonia (disorder),15802004,192859002,Fragments of torsion dystonia (disorder),35,35
Dystonia (disorder),15802004,58756001,Huntington's chorea (disorder),35,35
Dystonia (disorder),15802004,55776008,Symptomatic torsion dystonia (disorder),35,35
Dystonia (disorder),15802004,52274002,Dystonia lenticularis (disorder),35,35
Dystonia (disorder),15802004,22451001,Idiopathic torsion dystonia (disorder),35,35
Dystonia (disorder),15802004,15802004,Dystonia (disorder),35,35
Otalgia (finding),16001004,1010234007,Otalgia of right ear (finding),7,7
Otalgia (finding),16001004,1010233001,Otalgia of left ear (finding),7,7
Otalgia (finding),16001004,430879002,Posterior auricular pain (finding),7,7
Otalgia (finding),16001004,162356005,Earache symptom (finding),7,7
Otalgia (finding),16001004,74123003,Otogenic otalgia (finding),7,7
Otalgia (finding),16001004,16001004,Otalgia (finding),7,7
Otalgia (finding),16001004,12336008,Referred otalgia (finding),7,7
Backache (finding),161891005,303081002,Neurogenic claudication (finding),15,15
Backache (finding),161891005,279049005,Post-surgery back pain (finding),15,15
Backache (finding),161891005,279041008,Myofascial pain syndrome of lower back (disorder),15,15
Backache (finding),161891005,279039007,Low back pain (finding),15,15
Backache (finding),161891005,279038004,Thoracic back pain (finding),15,15
Backache (finding),161891005,247366003,Acute back pain with sciatica (finding),15,15
Backache (finding),161891005,161893008,Back pain worse on sneezing (finding),15,15
Backache (finding),161891005,161892003,Backache with radiation (finding),15,15
Backache (finding),161891005,161891005,Backache (finding),15,15
Backache (finding),161891005,135860001,Exacerbation of backache (finding),15,15
Backache (finding),161891005,134407002,Chronic back pain (finding),15,15
Backache (finding),161891005,103016004,Lumbosacral nerve root pain (finding),15,15
Backache (finding),161891005,102831002,Renal angle pain (finding),15,15
