snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation,coverage
Sclerosing mesenteritis (disorder),1092381000119100,95552009,Fibrosis of mesentery (disorder),(<!53619000|Disorder of digestive system (disorder)| AND <!239953001|Soft tissue lesion (disorder)| AND <!66579008|Disorder of peritoneum (disorder)|)&limit=7000,3,3
Sclerosing mesenteritis (disorder),1092381000119100,27970007,Cyst of mesentery (disorder),(<!53619000|Disorder of digestive system (disorder)| AND <!239953001|Soft tissue lesion (disorder)| AND <!66579008|Disorder of peritoneum (disorder)|)&limit=7000,3,3
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,109378008,"Mesothelioma (malignant, clinical disorder) (disorder)",(<!372087000|Primary malignant neoplasm (disorder)| AND <!254824006|Malignant tumor of mesothelial tissue (disorder)|)&limit=7000,1,1
Polycythemia vera (disorder),109992005,307651005,Myelosclerosis with myeloid metaplasia (disorder),(<!109993000|Chronic myeloproliferative disorder (clinical) (disorder)| AND <!93720005|Primary malignant neoplasm of bone marrow (disorder)|)&limit=7000,2,2
Polycythemia vera (disorder),109992005,109992005,Polycythemia vera (disorder),(<!109993000|Chronic myeloproliferative disorder (clinical) (disorder)| AND <!93720005|Primary malignant neoplasm of bone marrow (disorder)|)&limit=7000,2,2
Essential thrombocythemia (disorder),109994006,109994006,Essential thrombocythemia (disorder),"(<!6631009|Thrombocytosis (disorder)| AND <!414026006|Disorder of hematopoietic cell proliferation (disorder)| AND <!269475001|Malignant tumor of lymphoid, hemopoietic AND/OR related tissue (disorder)| AND <!372087000|Primary malignant neoplasm (disorder)|)&limit=7000",1,1
Myelodysplastic syndrome (disorder),109995007,109995007,Myelodysplastic syndrome (disorder),"(<!269475001|Malignant tumor of lymphoid, hemopoietic AND/OR related tissue (disorder)| AND <!414823004|Neoplasm affecting hematopoietic structure (disorder)| AND <!414824005|Neoplasm of bone marrow (disorder)| AND <!425333006|Myeloproliferative disorder (disorder)|)&limit=7000",1,1
Concussion injury of brain (disorder),110030002,110030002,Concussion injury of brain (disorder),(<!127295002|Traumatic brain injury (disorder)| AND <!708540005|Concussion injury of body structure (disorder)|)&limit=7000,1,1
Bursitis of knee (disorder),111243002,111243002,Bursitis of knee (disorder),(<!416209007|Synovitis (disorder)| AND <!712482006|Bursitis of lower limb (disorder)| AND <!128136007|Disorder of knee (disorder)|)&limit=7000,1,1
Compartment syndrome (disorder),111245009,735913001,Destruction of joint caused by hemiarthroplasty (disorder),(<!105606008|Injury of musculoskeletal system (disorder)| AND <!419026008|Effect of exposure to physical force (finding)|)&limit=7000,2,2
Compartment syndrome (disorder),111245009,111245009,Compartment syndrome (disorder),(<!105606008|Injury of musculoskeletal system (disorder)| AND <!419026008|Effect of exposure to physical force (finding)|)&limit=7000,2,2
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,111255008,Avascular necrosis of the capital femoral epiphysis (disorder),(<!444849002|Avascular necrosis of bone of hip (disorder)| AND <!699063001|Injury of hip and thigh (disorder)| AND <!240172008|Disorder of epiphysis (disorder)|)&limit=7000,1,1
Tricuspid valve regurgitation (disorder),111287006,111287006,Tricuspid valve regurgitation (disorder),(<!40445007|Heart valve regurgitation (disorder)| AND <!20721001|Tricuspid valve disorder (disorder)| AND <!301109008|Tricuspid valve lesion (finding)|)&limit=7000,1,1
Tay-Sachs disease (disorder),111385000,111385000,Tay-Sachs disease (disorder),(<!85995004|Autosomal recessive hereditary disorder (disorder)| AND <!33316007|GM 2 gangliosidosis (disorder)|)&limit=7000,1,1
Hemolytic uremic syndrome (disorder),111407006,111407006,Hemolytic uremic syndrome (disorder),(<!236424009|Acute renal impairment (disorder)| AND <!51071000|Microangiopathic hemolytic anemia (disorder)| AND <!782964007|Genetic disease (disorder)|)&limit=7000,1,1
Syringomyelia (disorder),111496009,840721004,Incomplete spinal cord syndrome (disorder),(<!299735001|Neurological lesion (finding)| AND <!48522003|Spinal cord disorder (disorder)|)&limit=7000,9,9
Syringomyelia (disorder),111496009,449906000,Perimedullary arteriovenous fistula of spinal cord (disorder),(<!299735001|Neurological lesion (finding)| AND <!48522003|Spinal cord disorder (disorder)|)&limit=7000,9,9
Syringomyelia (disorder),111496009,208012004,Open fracture of cervical spine with spinal cord lesion (disorder),(<!299735001|Neurological lesion (finding)| AND <!48522003|Spinal cord disorder (disorder)|)&limit=7000,9,9
Syringomyelia (disorder),111496009,207998001,Closed fracture of cervical spine with cord lesion (disorder),(<!299735001|Neurological lesion (finding)| AND <!48522003|Spinal cord disorder (disorder)|)&limit=7000,9,9
Syringomyelia (disorder),111496009,203967002,Spinal hydromeningocele (disorder),(<!299735001|Neurological lesion (finding)| AND <!48522003|Spinal cord disorder (disorder)|)&limit=7000,9,9
Syringomyelia (disorder),111496009,111496009,Syringomyelia (disorder),(<!299735001|Neurological lesion (finding)| AND <!48522003|Spinal cord disorder (disorder)|)&limit=7000,9,9
Syringomyelia (disorder),111496009,71286001,Spinal cord compression (disorder),(<!299735001|Neurological lesion (finding)| AND <!48522003|Spinal cord disorder (disorder)|)&limit=7000,9,9
Syringomyelia (disorder),111496009,67975003,Fibrocartilagenous emboli of spinal cord (disorder),(<!299735001|Neurological lesion (finding)| AND <!48522003|Spinal cord disorder (disorder)|)&limit=7000,9,9
Syringomyelia (disorder),111496009,41362007,Ossifying pachymeningitis (disorder),(<!299735001|Neurological lesion (finding)| AND <!48522003|Spinal cord disorder (disorder)|)&limit=7000,9,9
Benign paroxysmal positional vertigo (disorder),111541001,111541001,Benign paroxysmal positional vertigo (disorder),(<!277491009|Peripheral positional vertigo (disorder)| AND <!127344002|Acute disorder of ear (disorder)|)&limit=7000,1,1
Viral gastroenteritis (disorder),111843007,111843007,Viral gastroenteritis (disorder),(<!12463005|Infectious gastroenteritis (disorder)| AND <!78420004|Viral enteritis (disorder)| AND <!285344007|Viral gastritis (disorder)|)&limit=7000,1,1
Acne vulgaris (disorder),11381005,782878007,Autosomal recessive nail dysplasia (disorder),(<!95324001|Skin lesion (disorder)| AND <!238714008|Disorder of skin appendage (disorder)|)&limit=7000,2,2
Acne vulgaris (disorder),11381005,11381005,Acne (disorder),(<!95324001|Skin lesion (disorder)| AND <!238714008|Disorder of skin appendage (disorder)|)&limit=7000,2,2
Cesarean section (procedure),11466000,11466000,Cesarean section (procedure),(<!66201006|Extraction of fetus (procedure)| AND <!42253005|Incision of uterus (procedure)| AND <!236991000|Operation to facilitate delivery (procedure)|)&limit=7000,1,1
Methicillin resistant Staphylococcus aureus (organism),115329001,115329001,Methicillin resistant Staphylococcus aureus (organism),(<!710891006|Methicillin resistant Staphylococcus (organism)| AND <!3092008|Staphylococcus aureus (organism)|)&limit=7000,1,1
Gestational diabetes mellitus (disorder),11687002,199227004,Diabetes mellitus during pregnancy - baby not yet delivered (disorder),"(<!609496007|Complication occurring during pregnancy (disorder)| AND <!199223000|Diabetes mellitus during pregnancy, childbirth and the puerperium (disorder)|)&limit=7000",3,3
Gestational diabetes mellitus (disorder),11687002,199225007,Diabetes mellitus during pregnancy - baby delivered (disorder),"(<!609496007|Complication occurring during pregnancy (disorder)| AND <!199223000|Diabetes mellitus during pregnancy, childbirth and the puerperium (disorder)|)&limit=7000",3,3
Gestational diabetes mellitus (disorder),11687002,11687002,Gestational diabetes mellitus (disorder),"(<!609496007|Complication occurring during pregnancy (disorder)| AND <!199223000|Diabetes mellitus during pregnancy, childbirth and the puerperium (disorder)|)&limit=7000",3,3
Actinomycotic infection (disorder),11817007,11817007,Actinomycotic infection (disorder),(<!371582002|Disease caused by Gram-positive bacteria (disorder)| AND <!423451008|Infection caused by anaerobic bacteria (disorder)| AND <!721751007|Infection caused by Actinomycetales (disorder)|)&limit=7000,1,1
Traveler's diarrhea (disorder),11840006,11840006,Traveler's diarrhea (disorder),(<!240352006|Enterotoxigenic Escherichia coli gastrointestinal tract infection (disorder)| AND <!111839008|Intestinal infection caused by Escherichia coli (disorder)| AND <!19213003|Infectious diarrheal disease (disorder)|)&limit=7000,1,1
Non-Hodgkin's lymphoma (disorder),118601006,118601006,Non-Hodgkin's lymphoma (disorder),(<!118600007|Malignant lymphoma (disorder)| AND <!372087000|Primary malignant neoplasm (disorder)|)&limit=7000,1,1
Adenoid excision (procedure),119954001,119954001,Adenoid excision (procedure),(<!107996003|Lymphatic system excision (procedure)| AND <!119704003|Nasopharynx excision (procedure)| AND <!363146006|Immune system excision (procedure)| AND <!36681006|Operation on adenoids (procedure)|)&limit=7000,1,1
Androgen resistance syndrome (disorder),12313004,12313004,Androgen resistance syndrome (disorder),(<!28710006|Disorder of steroid metabolism (disorder)| AND <!276856001|Endocrine andrology disorder (disorder)|)&limit=7000,2,2
Androgen resistance syndrome (disorder),12313004,9979004,Disorder of androgen receptor (disorder),(<!28710006|Disorder of steroid metabolism (disorder)| AND <!276856001|Endocrine andrology disorder (disorder)|)&limit=7000,2,2
Vesicular eczema (disorder),123698008,123698008,Vesicular eczema (disorder),(<!827008005|Vesicle of skin (finding)| AND <!43116000|Eczema (disorder)| AND <!95324001|Skin lesion (disorder)|)&limit=7000,1,1
Scar (morphologic abnormality),12402003,12402003,Scar (morphologic abnormality),(<!280115004|Acquired body structure (body structure)| AND <!107682006|Fibrosis AND/OR repair abnormality (morphologic abnormality)|)&limit=7000,1,1
Mast cell hyperplasia (morphologic abnormality),125541005,125541005,Mast cell hyperplasia (morphologic abnormality),(<!397017008|Mast cell abnormality (morphologic abnormality)| AND <!76197007|Hyperplasia (morphologic abnormality)|)&limit=7000,1,1
Familial Mediterranean fever (disorder),12579009,12579009,Familial Mediterranean fever (disorder),(<!402790006|Hereditary periodic fever (disorder)| AND <!363170005|Inflammation of specific body structures or tissue (disorder)| AND <!363045008|Connective tissue hereditary disorder (disorder)|)&limit=7000,1,1
Deviated nasal septum (disorder),126660000,126660000,Deviated nasal septum (disorder),(<!95433000|Disorder of nasal septum (disorder)| AND <!249316004|Nasal deviation (finding)|)&limit=7000,1,1
Neoplasm of gallbladder (disorder),126854002,126854002,Neoplasm of gallbladder (disorder),(<!126853008|Neoplasm of biliary tract (disorder)| AND <!126643005|Neoplasm of intra-abdominal organs (disorder)| AND <!138561000119104|Gallbladder mass (disorder)|)&limit=7000,1,1
Acoustic neuroma (disorder),126949007,126949007,Acoustic neuroma (disorder),(<!254981002|Benign tumor of acoustic vestibular nerve (disorder)| AND <!404026003|Cellular schwannoma (disorder)|)&limit=7000,1,1
Neoplasm of spinal cord (disorder),126962006,126962006,Neoplasm of spinal cord (disorder),(<!126641007|Neoplasm of back (disorder)| AND <!126951006|Neoplasm of central nervous system (disorder)| AND <!48522003|Spinal cord disorder (disorder)| AND <!299736000|Intraspinal space-occupying lesion (finding)|)&limit=7000,1,1
Disorder of kidney co-occurrent and due to diabetes mellitus (disorder),127013003,127013003,Disorder of kidney due to diabetes mellitus (disorder),(<!74627003|Complication due to diabetes mellitus (disorder)| AND <!90708001|Kidney disease (disorder)|)&limit=7000,1,1
Sickle cell-hemoglobin SS disease (disorder),127040003,127040003,Sickle cell-hemoglobin SS disease (disorder),(<!417357006|Sickling disorder due to hemoglobin S (disorder)| AND <!14514008|Anemia due to disturbance of hemoglobin synthesis (disorder)| AND <!63565007|Congenital anemia (disorder)| AND <!123772008|Homozygous hemoglobinopathy (disorder)| AND <!323666000|Anemia due to intrinsic red cell abnormality (disorder)| AND <!424988008|Anemia caused by substance (disorder)|)&limit=7000,1,1
Erythrocytosis (disorder),127062003,127062003,Erythrocytosis (disorder),(<!165424007|Red blood cell count raised (finding)| AND <!38292009|Red blood cell disorder (disorder)|)&limit=7000,1,1
Traumatic brain injury (disorder),127295002,127295002,Traumatic brain injury (disorder),(<!127294003|Traumatic AND/OR non-traumatic brain injury (disorder)| AND <!417746004|Traumatic injury (disorder)|)&limit=7000,1,1
Venous varices (disorder),128060009,128060009,Venous varices (disorder),(<!234128000|Ectactic vein (disorder)| AND <!271652003|Varicose vein finding (finding)|)&limit=7000,1,1
Cerebral palsy (disorder),128188000,128188000,Cerebral palsy (disorder),(<!29426003|Paralytic syndrome (disorder)| AND <!81308009|Disorder of brain (disorder)|)&limit=7000,2,2
Cerebral palsy (disorder),128188000,66010009,Supranuclear paralysis (disorder),(<!29426003|Paralytic syndrome (disorder)| AND <!81308009|Disorder of brain (disorder)|)&limit=7000,2,2
Complex regional pain syndrome (disorder),128200000,128200000,Complex regional pain syndrome (disorder),(<!42658009|Disorder of the peripheral nervous system (disorder)| AND <!128283000|Chronic nervous system disorder (disorder)| AND <!279001004|Pain finding at anatomical site (finding)| AND <!373621006|Chronic pain syndrome (disorder)|)&limit=7000,1,1
Thoracic outlet syndrome (disorder),128210009,1074681000119107,Arthritis of right sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,1074661000119103,Arthritis of left sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,1074451000119102,Osteoarthritis of left sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,1074391000119103,Osteoarthritis of right sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,846604005,Osteomyelitis of sternum (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,766711009,Isolated sternocostoclavicular hyperostosis (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,762668000,Stimulation of muscle pocket due to and after implantation of cardiac pacemaker (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,762667005,Stimulation of muscle pocket due to and after implantation of automatic cardiac defibrillator (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,733216002,Traumatic dislocation of joint of thoracic wall (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,719186004,Atrophy of pectoral muscle (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,712530006,Bacterial arthritis of costovertebral joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,449258001,Hemangioma of chest wall (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,447226003,Epidermoid cyst of skin of chest (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,446196005,Subluxation of sternum (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,405572004,Flail sternum (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,298087003,Foreign body of skin of chest (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,279325003,Submammary monilia (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,263035007,Subluxation of costochondral joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,263011002,Dislocation of sternocostal joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,263010001,Dislocation of costovertebral joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,263009006,Dislocation of sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,240712006,Submammary intertrigo (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,239149002,Presternal ciliated cyst (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,211123002,"Splinter of chest wall, without major open wound (disorder)",(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,205461008,Mis-shapen sternum (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,202576008,Synovial osteochondromatosis of sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,202403002,Hemarthrosis of sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,202371002,Effusion of sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,201998006,Transient arthropathy of sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,201942006,Traumatic arthropathy of sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,201767000,Rheumatoid arthritis of sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,201559006,Reactive arthropathy of sternoclavicular joint (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,128210009,Thoracic outlet syndrome (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,89874002,Xiphoidalgia syndrome (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,64740002,Acute lymphangitis of chest wall (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,59532009,Cellulitis of chest wall (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,29723007,Furuncle of chest wall (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Thoracic outlet syndrome (disorder),128210009,17438000,Carbuncle of chest wall (disorder),(<!118946009|Disorder of thorax (disorder)| AND <!399986003|Disorder of body wall (disorder)|)&limit=7000,38,38
Inflammatory disease of liver (disorder),128241005,128241005,Inflammatory disease of liver (disorder),(<!373407002|Inflammatory disorder of digestive system (disorder)| AND <!363169009|Inflammation of specific body organs (disorder)| AND <!235856003|Disorder of liver (disorder)|)&limit=7000,1,1
Uveitis (disorder),128473001,128473001,Uveitis (disorder),(<!363169009|Inflammation of specific body organs (disorder)| AND <!95678007|Disorder of uveal tract (disorder)| AND <!128295000|Inflammatory disorder of the eye (disorder)|)&limit=7000,1,1
Medium-chain acyl-coenzyme A dehydrogenase deficiency (disorder),128596003,787412002,Short chain acyl-coenzyme A dehydrogenase deficiency (disorder),(<!82319005|Acyl-coenzyme A dehydrogenase deficiency (disorder)| AND <!85995004|Autosomal recessive hereditary disorder (disorder)|)&limit=7000,2,2
Medium-chain acyl-coenzyme A dehydrogenase deficiency (disorder),128596003,128596003,Medium-chain acyl-coenzyme A dehydrogenase deficiency (disorder),(<!82319005|Acyl-coenzyme A dehydrogenase deficiency (disorder)| AND <!85995004|Autosomal recessive hereditary disorder (disorder)|)&limit=7000,2,2
Intracranial aneurysm (disorder),128609009,128609009,Intracranial aneurysm (disorder),(<!301432000|Aneurysm of head and neck artery (disorder)| AND <!250845006|Intracerebral vascular finding (finding)| AND <!118934005|Disorder of head (disorder)| AND <!62914000|Cerebrovascular disease (disorder)|)&limit=7000,1,1
Myelodysplastic syndrome (morphologic abnormality),128623006,128623006,Myelodysplastic syndrome (morphologic abnormality),(<!414644002|Malignant hematopoietic neoplasm (morphologic abnormality)| AND <!414792005|Myeloid neoplasm (morphologic abnormality)|)&limit=7000,1,1
Infestation caused by Sarcoptes scabiei var hominis (disorder),128869009,128869009,Infestation caused by Sarcoptes scabiei var hominis (disorder),(<!62752005|Infestation caused by Sarcoptes (disorder)| AND <!240885009|Dermatosis caused by mites (disorder)|)&limit=7000,1,1
Infection of ear (disorder),129127001,129127001,Infection of ear (disorder),(<!363166002|Infective disorder of head (disorder)| AND <!25906001|Disorder of ear (disorder)|)&limit=7000,1,1
Infectious disorder of kidney (disorder),129128006,129128006,Infectious disorder of kidney (disorder),(<!90708001|Kidney disease (disorder)| AND <!422747000|Upper urinary tract infection (disorder)| AND <!128070006|Infectious disease of abdomen (disorder)|)&limit=7000,1,1
Congenital heart disease (disorder),13213009,13213009,Congenital heart disease (disorder),(<!128599005|Structural disorder of heart (disorder)| AND <!363035006|Congenital anomaly of thorax (disorder)| AND <!363028003|Congenital anomaly of cardiovascular structure of trunk (disorder)|)&limit=7000,1,1
Induratio penis plastica (disorder),1335005,1335005,Induratio penis plastica (disorder),(<!236755002|Deformity of erection (disorder)| AND <!238853007|Superficial fibromatosis (disorder)|)&limit=7000,1,1
Basal cell carcinoma (morphologic abnormality),1338007,128637002,Adenoid basal carcinoma (morphologic abnormality),"(<!400137006|Basal cell carcinoma - category (morphologic abnormality)| AND <!86049000|Malignant neoplasm, primary (morphologic abnormality)|)&limit=7000",7,7
Basal cell carcinoma (morphologic abnormality),1338007,128636006,"Basal cell carcinoma, nodular (morphologic abnormality)","(<!400137006|Basal cell carcinoma - category (morphologic abnormality)| AND <!86049000|Malignant neoplasm, primary (morphologic abnormality)|)&limit=7000",7,7
Basal cell carcinoma (morphologic abnormality),1338007,61098004,Multifocal superficial basal cell carcinoma (morphologic abnormality),"(<!400137006|Basal cell carcinoma - category (morphologic abnormality)| AND <!86049000|Malignant neoplasm, primary (morphologic abnormality)|)&limit=7000",7,7
Basal cell carcinoma (morphologic abnormality),1338007,56665009,Infiltrating basal cell carcinoma (morphologic abnormality),"(<!400137006|Basal cell carcinoma - category (morphologic abnormality)| AND <!86049000|Malignant neoplasm, primary (morphologic abnormality)|)&limit=7000",7,7
Basal cell carcinoma (morphologic abnormality),1338007,43369006,"Basal cell carcinoma, fibroepithelial (morphologic abnormality)","(<!400137006|Basal cell carcinoma - category (morphologic abnormality)| AND <!86049000|Malignant neoplasm, primary (morphologic abnormality)|)&limit=7000",7,7
Basal cell carcinoma (morphologic abnormality),1338007,37304002,Basosquamous carcinoma (morphologic abnormality),"(<!400137006|Basal cell carcinoma - category (morphologic abnormality)| AND <!86049000|Malignant neoplasm, primary (morphologic abnormality)|)&limit=7000",7,7
Basal cell carcinoma (morphologic abnormality),1338007,1338007,Basal cell carcinoma (morphologic abnormality),"(<!400137006|Basal cell carcinoma - category (morphologic abnormality)| AND <!86049000|Malignant neoplasm, primary (morphologic abnormality)|)&limit=7000",7,7
Prolactinoma (disorder),134209002,254959007,Thyrotroph adenoma (disorder),(<!254956000|Pituitary adenoma (disorder)| AND <!448148000|Functioning pituitary neoplasm (disorder)|)&limit=7000,4,4
Prolactinoma (disorder),134209002,254958004,Corticotroph adenoma (disorder),(<!254956000|Pituitary adenoma (disorder)| AND <!448148000|Functioning pituitary neoplasm (disorder)|)&limit=7000,4,4
Prolactinoma (disorder),134209002,254957009,Somatotroph adenoma (disorder),(<!254956000|Pituitary adenoma (disorder)| AND <!448148000|Functioning pituitary neoplasm (disorder)|)&limit=7000,4,4
Prolactinoma (disorder),134209002,134209002,Prolactinoma (disorder),(<!254956000|Pituitary adenoma (disorder)| AND <!448148000|Functioning pituitary neoplasm (disorder)|)&limit=7000,4,4
